rib,length_m,stiffness,EI_kNm2,ks_MN_m3_assumed,contact_width_m_assumed,elements,maximum_element_length_m,Gk_total_kN,soil_reaction_integral_kN,force_equilibrium_relative_error,moment_equilibrium_relative_error,linear_system_relative_residual,free_right_end_V_residual_kN,free_right_end_M_residual_kNm,w_min_mm,w_max_mm,rotation_abs_max_mrad,pressure_min_Gk_kPa,pressure_max_Gk_kPa,pressure_average_Gk_kPa,M_sagging_Gk_kNm,M_hogging_Gk_kNm,V_abs_Gk_kN,pressure_max_scaled_1p35G_kPa,M_sagging_Ed_kNm,M_hogging_Ed_kNm,V_abs_Ed_kN,linear_contact_all_compressive,coarse_fine_max_relative_change
R7,7.495,gross_instantaneous,53386.66666666667,5.0,0.35,151,0.05,64.356122,64.35612194420395,8.669890091666524e-10,8.229435736830896e-11,1.3639997530985639e-08,-5.579607348371596e-08,-3.9834431296483647e-07,4.824140400705631,5.012968155161006,0.06245792696965826,24.120702003528155,25.06484077580503,24.532973220242067,0.3648993060779172,-3.3845184774378954,2.7187644199901717,33.83753504733679,0.49261406320518825,-4.569099944541159,3.670331966986732,True,1.6486428301887557e-06
R7,7.495,gross_instantaneous,53386.66666666667,10.0,0.35,151,0.05,64.356122,64.3561218758406,1.929255451506101e-09,9.485213819954846e-10,6.829725726601564e-09,-1.2415942998722507e-07,-7.018156930101854e-07,2.3814901234634447,2.5423509323133286,0.05359965321535516,23.814901234634448,25.423509323133285,24.532973220242067,0.41381707610760743,-3.0830317500089413,2.662408003037485,34.321737586229936,0.5586530527452701,-4.162092862512071,3.594250804100605,True,1.6251717694311469e-06
R7,7.495,gross_instantaneous,53386.66666666667,20.0,0.35,151,0.05,64.356122,64.35612218108456,2.8137891668398163e-09,3.1845352539129568e-09,3.6760570895961467e-09,1.810845489669255e-07,5.891997749262606e-07,1.1689498626218793,1.2928764134974862,0.042578617527954984,23.37899725243759,25.85752826994972,24.532973220242067,0.4883706480513631,-2.6798925216509577,2.582576297565897,34.90766316443213,0.6593003748693402,-3.617854904228793,3.486478001713961,True,3.998527398928813e-06
R7,7.495,gross_instantaneous,53386.66666666667,50.0,0.35,151,0.05,64.356122,64.3561220146443,2.2755100120654225e-10,3.4398962422434783e-10,1.5775848452104348e-09,1.4644268103713998e-08,2.679727584796454e-08,0.45265383951475957,0.5255831874648045,0.028740310245396604,22.63269197573798,26.279159373240223,24.532973220242067,0.6015412794259151,-2.1008757254089145,2.448020690278235,35.4768651538743,0.8120807272249854,-2.8361822293020347,3.3048279318756175,True,4.588625648073833e-06
R7,7.495,cracked_sustained_3phi16,7870.137835311905,5.0,0.35,151,0.05,64.356122,64.35612203053022,4.743949080254195e-10,5.426816231541815e-10,2.2471612941031083e-09,3.0530176692300515e-08,9.794272338038007e-08,4.59402999829512,5.229673304380803,0.23192787010058172,22.9701499914756,26.148366521904016,24.532973220242067,0.5556886150050887,-2.341930094866667,2.5084629683501944,35.30029480457043,0.7501796302568698,-3.1616056280700007,3.386425007272763,True,3.4653974173816143e-06
R7,7.495,cracked_sustained_3phi16,7870.137835311905,10.0,0.35,151,0.05,64.356122,64.35612195653636,6.753614419318251e-10,6.919637747970913e-10,8.518728579719289e-10,-4.3463665638787674e-08,-1.5887607015489108e-07,2.2342960941610808,2.63049870471249,0.16990226027185185,22.342960941610805,26.3049870471249,24.532973220242067,0.6296082391401552,-1.9240828667003242,2.3967192961464026,35.51173251361862,0.8499711228392095,-2.597511870045438,3.2355710497976435,True,6.939438499452392e-06
R7,7.495,cracked_sustained_3phi16,7870.137835311905,20.0,0.35,151,0.05,64.356122,64.35612199299908,1.0878406769173267e-10,1.0333040796627013e-10,5.526189683735326e-10,-7.00094052175082e-09,-2.7551323774493985e-08,1.0784258731859677,1.30940686584292,0.1256059527948933,21.568517463719356,26.188137316858402,24.532973220242067,0.648126438528224,-1.5729328117363406,2.2620960229470395,35.353985377758846,0.8749706920131025,-2.12345929584406,3.0538296309785036,True,2.6156115426996295e-06
R7,7.495,cracked_sustained_3phi16,7870.137835311905,50.0,0.35,151,0.05,64.356122,64.35612200152393,2.3679634193839667e-11,3.75619770387117e-11,2.0628218949677498e-10,1.5239261796917702e-09,2.3629181263550014e-09,0.4031144535773794,0.5352305170973466,0.08516942165293856,20.155722678868973,26.761525854867333,24.532973220242067,0.5513735636026412,-1.1864945821269817,2.0228402500238585,36.1280599040709,0.7443543108635657,-1.6017676858714254,2.730834337532209,True,1.2444001021369126e-05
R7,7.495,cracked_sustained_4phi16,9587.25608163519,5.0,0.35,151,0.05,64.356122,64.35612202975153,4.6229530102735496e-10,6.677634132653875e-10,2.706533888656522e-09,2.9751541646971802e-08,6.194031984454312e-08,4.6259636038424485,5.21012420703724,0.20732648393799089,23.129818019212244,26.050621035186204,24.532973220242067,0.5303925682813168,-2.468435052946375,2.5373017832488785,35.16833839750138,0.7160299671797776,-3.332387321477607,3.4253574073859863,True,1.9238310370427776e-06
R7,7.495,cracked_sustained_4phi16,9587.25608163519,10.0,0.35,151,0.05,64.356122,64.35612195595192,6.84442716453267e-10,6.785785898816164e-10,1.4579896903179e-09,-4.4048102804117306e-08,-1.6648448227137014e-07,2.2533134878121017,2.62970444460577,0.15243624888775592,22.533134878121018,26.297044446057697,24.532973220242067,0.6124914408303352,-2.0369718571895725,2.4303299411204806,35.50101000217789,0.8268634451209527,-2.749912007205923,3.280945420512649,True,8.061622679194713e-06
