rib,stiffness,ks_MN_m3_assumed,x_m,w_mm,rotation_rad,soil_pressure_kPa,M_Gk_kNm,V_Gk_kN
R7,gross_instantaneous,5.0,0.0,5.0129681314413075,-5.491998585973044e-05,25.064840657206535,0.0,0.0
R7,gross_instantaneous,5.0,0.008332573706280825,5.0125105070872165,-5.491990016593639e-05,25.062552535436083,0.00018303701761688678,0.043931776761396917
R7,gross_instantaneous,5.0,0.012499999999999999,5.012281632421439,-5.491992160110474e-05,25.061408162107195,0.00041189795094688465,0.06590116929078456
R7,gross_instantaneous,5.0,0.024999999999999998,5.011595131794228,-5.49202430348648e-05,25.05797565897114,0.001647466660722381,0.13178732140671776
R7,gross_instantaneous,5.0,0.0375,5.010908624738517,-5.492095016101064e-05,25.054543123692582,0.0037065184142013787,0.19765845625990752
R7,gross_instantaneous,5.0,0.049999999999999996,5.010222106433151,-5.492204297954225e-05,25.051110532165758,0.006588865494500975,0.2635145736569991
R7,gross_instantaneous,5.0,0.049999999999999996,5.010222106433152,-5.492204297948398e-05,25.05111053216576,0.006588865494500975,0.2635145736569991
R7,gross_instantaneous,5.0,0.06249999999999999,5.00953557044978,-5.492390712417835e-05,25.0476778522489,0.010294320181640204,0.3293556732903834
R7,gross_instantaneous,5.0,0.075,5.008849003935944,-5.492692785373619e-05,25.044245019679718,0.014822694750628616,0.395181754641559
R7,gross_instantaneous,5.0,0.0875,5.0081623924343335,-5.4931105168157494e-05,25.040811962171666,0.020173801468105646,0.46099281688454513
R7,gross_instantaneous,5.0,0.09999999999999999,5.007475721487637,-5.493643906744227e-05,25.037378607438185,0.026347452588409398,0.5267888588771074
R7,gross_instantaneous,5.0,0.09999999999999999,5.007475721487638,-5.493643906738279e-05,25.03737860743819,0.026347452588409398,0.5267888588771074
R7,gross_instantaneous,5.0,0.11249999999999999,5.006788975032812,-5.494331483367229e-05,25.03394487516406,0.03334346034960149,0.5925698791519741
R7,gross_instantaneous,5.0,0.125,5.006102130588571,-5.49521173739565e-05,25.030510652942855,0.041161636968921285,0.6583358758202867
R7,gross_instantaneous,5.0,0.1375,5.0054151640702385,-5.496284668823543e-05,25.027075820351193,0.049801794636792254,0.7240868464751006
R7,gross_instantaneous,5.0,0.15,5.0047280513931405,-5.4975502776509073e-05,25.023640256965702,0.05926374551025824,0.7898227881826188
R7,gross_instantaneous,5.0,0.15,5.004728051393141,-5.497550277644893e-05,25.023640256965706,0.05926374551025824,0.7898227881826188
R7,gross_instantaneous,5.0,0.1624918032786885,5.004041216657465,-5.499053619577193e-05,25.020206083287327,0.06905234580110794,0.7773784304832976
R7,gross_instantaneous,5.0,0.17498360655737705,5.003354180162796,-5.500780539748845e-05,25.01677090081398,0.07868539983470803,0.7649190559718578
R7,gross_instantaneous,5.0,0.1874754098360656,5.002666913980178,-5.5027310381598475e-05,25.01333456990089,0.0881627199951764,0.7524446599324431
R7,gross_instantaneous,5.0,0.1999672131147541,5.00197939018066,-5.504905114810201e-05,25.009896950903297,0.09748411860390804,0.7399552370386516
R7,gross_instantaneous,5.0,0.1999672131147541,5.001979390180659,-5.504905114816115e-05,25.009896950903293,0.09748411860390804,0.7399552370386516
R7,gross_instantaneous,5.0,0.2124590163934426,5.00129158113831,-5.507295482936341e-05,25.00645790569155,0.1066494079119523,0.7274507813551903
R7,gross_instantaneous,5.0,0.22495081967213115,5.000603460443993,-5.509894818250177e-05,25.003017302219966,0.11565840009249789,0.7149312863561365
R7,gross_instantaneous,5.0,0.23744262295081967,4.999915001993936,-5.512703120757623e-05,24.99957500996968,0.12451090723363212,0.702396744943251
R7,gross_instantaneous,5.0,0.24993442622950818,4.99922617968437,-5.5157203904586785e-05,24.99613089842185,0.1332067413312083,0.6898471494476491
R7,gross_instantaneous,5.0,0.24993442622950818,4.999226179684371,-5.515720390453338e-05,24.996130898421853,0.1332067413312083,0.6898471494476491
R7,gross_instantaneous,5.0,0.2624262295081967,4.998536967716013,-5.518939305421495e-05,24.992684838580065,0.14174571428172147,0.6772824916314627
R7,gross_instantaneous,5.0,0.2749180327868852,4.997847341512231,-5.522352506165807e-05,24.989236707561158,0.15012763787529246,0.6647027627061894
R7,gross_instantaneous,5.0,0.28740983606557374,4.997157276803228,-5.525959992686273e-05,24.98578638401614,0.15835232378892722,0.6521079533510946
R7,gross_instantaneous,5.0,0.2999016393442623,4.996466749319208,-5.529761764982894e-05,24.98233374659604,0.1664195835798852,0.6394980537148897
R7,gross_instantaneous,5.0,0.2999016393442623,4.996466749319207,-5.529761764988389e-05,24.982333746596037,0.1664195835798852,0.6394980537148897
R7,gross_instantaneous,5.0,0.3123934426229508,4.995775735096326,-5.533750465920204e-05,24.978878675481628,0.17432922867905587,0.6268730534174023
R7,gross_instantaneous,5.0,0.32488524590163936,4.995084211399264,-5.5379187006802784e-05,24.975421056996318,0.18208107038444404,0.6142329415680147
R7,gross_instantaneous,5.0,0.33737704918032785,4.99439215580101,-5.542266469268613e-05,24.971960779005048,0.18967491985493207,0.6015777067841523
R7,gross_instantaneous,5.0,0.3498688524590164,4.9936995458745495,-5.546793771685208e-05,24.968497729372746,0.19711058810415127,0.5889073371929721
R7,gross_instantaneous,5.0,0.3498688524590164,4.9936995458745495,-5.54679377168502e-05,24.968497729372746,0.19711058810415127,0.5889073371929721
R7,gross_instantaneous,5.0,0.36236065573770493,4.993006359500296,-5.551493215480397e-05,24.965031797501478,0.2043878859943617,0.576221820433039
R7,gross_instantaneous,5.0,0.3748524590163934,4.99231257579307,-5.556357370427115e-05,24.96156287896535,0.21150662423044136,0.5635211436728537
R7,gross_instantaneous,5.0,0.38734426229508195,4.991618174177481,-5.561386236525173e-05,24.958090870887407,0.2184666133541534,0.55080529362943
R7,gross_instantaneous,5.0,0.3998360655737705,4.990923134078137,-5.5665798137745703e-05,24.95461567039068,0.2252676637385232,0.53807425656999
R7,gross_instantaneous,5.0,0.3998360655737705,4.990923134078137,-5.566579813772719e-05,24.95461567039068,0.2252676637385232,0.53807425656999
R7,gross_instantaneous,5.0,0.412327868852459,4.990227435228538,-5.5719306743081354e-05,24.95113717614269,0.23190958558222372,0.5253280183136504
R7,gross_instantaneous,5.0,0.4248196721311475,4.989531058602514,-5.577431352353385e-05,24.947655293012573,0.23839218890407105,0.5125665642500373
R7,gross_instantaneous,5.0,0.43731147540983606,4.988833985485156,-5.5830818479084664e-05,24.94416992742578,0.24471528353779895,0.49978987935795377
R7,gross_instantaneous,5.0,0.44980327868852454,4.988136197161554,-5.588882160973381e-05,24.940680985807766,0.25087867912694406,0.48699794820708225
R7,gross_instantaneous,5.0,0.44980327868852454,4.988136197161554,-5.5888821609757575e-05,24.940680985807766,0.25087867912694406,0.48699794820708225
