wall,model_role,assembly,length_m,width_m,prior_study_assumed_gk_kN_m,prior_study_assumed_Gk_kN,rib_ids_intersecting_wall_footprint,four_ribs_axis_covered_m,four_ribs_footprint_covered_fraction,four_ribs_status,four_ribs_plus_old_upper_ring_axis_covered_m,four_ribs_plus_old_upper_ring_footprint_covered_fraction,four_ribs_plus_old_upper_ring_status
IW-ENTRY-TOP-E2,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.22599999999999998,0.203,9.3,2.1018,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
IW-SPINE-EAST-1,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.37950000000000017,0.144,7.0874999999999995,2.689706250000001,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
IW-SPINE-EAST-2,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,2.3644999999999996,0.144,7.0874999999999995,16.758393749999996,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
IW-SPINE-EAST-3,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.5380000000000003,0.144,7.0874999999999995,3.8130750000000013,['R2'],0.025000000000000355,0.0464684014869895,PARTIAL_PLAN_COVERAGE,0.025000000000000355,0.0464684014869895,PARTIAL_PLAN_COVERAGE
IW-STUDY-NORTH,PARTITION,H200,4.757999999999999,0.2,5.2115625,24.796614374999997,[],0.0,0.0,NO_PLAN_COVERAGE,0.02500000000000213,0.005254308532997576,PARTIAL_PLAN_COVERAGE
IW-BATH-105-EAST,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,1.0310000000000006,0.139,6.9,7.1139000000000046,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
IW-BATH-105-SOUTH-E,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,2.8590000000000018,0.14,6.937500000000001,19.834312500000014,[],0.0,0.0,NO_PLAN_COVERAGE,0.02500000000000213,0.008744316194474355,PARTIAL_PLAN_COVERAGE
IW-BATH-105-NORTH,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,2.0380000000000003,0.14,6.937500000000001,14.138625000000003,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
IW-WC-EAST,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,1.799999999999999,0.139,6.9,12.419999999999993,['R2'],0.025000000000000355,0.013888888888889173,PARTIAL_PLAN_COVERAGE,0.025000000000000355,0.013888888888889173,PARTIAL_PLAN_COVERAGE
B-STREET-KID-TOP,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,2.199,0.14,6.937500000000001,15.255562500000002,['R7'],0.025000000000000355,0.011368804001819277,PARTIAL_PLAN_COVERAGE,0.025000000000000355,0.011368804001819277,PARTIAL_PLAN_COVERAGE
B-GARDEN-KID-SOUTH-W,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,2.199,0.14,6.937500000000001,15.255562500000002,['R7'],0.025000000000000355,0.011368804001819166,PARTIAL_PLAN_COVERAGE,0.025000000000000355,0.011368804001819166,PARTIAL_PLAN_COVERAGE
B-GARDEN-KID-SOUTH-E,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,3.2010000000000005,0.14,6.937500000000001,22.206937500000006,['R1'],0.3500000000000014,0.10934083099031588,PARTIAL_PLAN_COVERAGE,0.3500000000000014,0.10934083099031588,PARTIAL_PLAN_COVERAGE
C-GARAGE-BAY-EAST,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,2.1,0.14,6.937500000000001,14.568750000000003,[],0.0,0.0,NO_PLAN_COVERAGE,0.02499999999999991,0.011904761904761862,PARTIAL_PLAN_COVERAGE
C-GARAGE-BAY-RETURN,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,2.139999999999999,0.14,6.937500000000001,14.846249999999994,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
C-GARAGE-SPINE-S,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.30100000000000016,0.1,5.437500000000001,1.6366875000000012,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
